ID,Name,Student?,Date In,Time In,Date Out,Time Out,Calculated,,,,ID,Student?,Name,Meetings Attended,Total Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0","Example Name0","True","Thursday, December 20, 2018","18:50:03 PM","Thursday, December 20, 2018","18:50:07 PM","00:00:04",,,,"0","True","Example Name0","7","00:01:10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0","Example Name0","True","Thursday, December 20, 2018","18:50:14 PM","Thursday, December 20, 2018","18:50:18 PM","00:00:04",,,,"10","True","Example Name10","2","00:00:59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0","Example Name0","True","Thursday, December 20, 2018","18:50:30 PM","Thursday, December 20, 2018","18:50:30 PM","00:00:00",,,,"20","False","Example Mentor","2","00:00:57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0","Example Name0","True","Thursday, December 20, 2018","18:52:20 PM","Thursday, December 20, 2018","18:52:21 PM","00:00:01",,,,"1","True","Example Name1","2","00:00:50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0","Example Name0","True","Thursday, December 20, 2018","18:52:37 PM","Thursday, December 20, 2018","18:52:38 PM","00:00:01",,,,"19","True","Example Name19","1","00:00:46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0","Example Name0","True","Thursday, December 20, 2018","18:52:54 PM","Thursday, December 20, 2018","18:53:03 PM","00:00:09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0","Example Name0","True","Thursday, December 20, 2018","18:53:27 PM","Thursday, December 20, 2018","18:53:31 PM","00:00:04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","Example Name1","True","Thursday, December 20, 2018","18:52:55 PM","Thursday, December 20, 2018","18:53:03 PM","00:00:08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","Example Name1","True","Thursday, December 20, 2018","18:59:51 PM","Monday, November 18, 2019","20:15:10 PM","7993:15:19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","Example Name10","True","Thursday, December 20, 2018","16:13:51 PM","Thursday, December 20, 2018","16:13:52 PM","00:00:01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
